"","over_60","partnered","living_alone","Home_owner","young_child","Numb_dep","Have_dep","Main_carer_dep","PPeligible","IWSSUCP8","SIHPSWT"
"314",0,1,0,1,NA,0,0,0,0,570,158.469445779512
"315",1,1,0,1,NA,0,0,0,0,1480,158.469445779512
"316",0,1,0,1,NA,0,0,0,0,1992,283.60586501577
"317",0,1,0,1,NA,0,0,0,0,1642,283.60586501577
"318",0,1,0,1,NA,0,0,0,0,1000,88.5573836906109
"319",0,1,0,1,NA,0,0,0,0,0,88.5573836906109
"320",0,0,0,1,7,3,1,1,1,437,85.7852735341867
"321",0,0,1,0,NA,0,0,0,0,949,140.765505480218
"322",1,1,0,1,NA,0,0,0,0,0,143.966167145162
"323",1,1,0,1,NA,0,0,0,0,0,143.966167145162
"324",1,0,1,1,NA,0,0,0,0,140,13.0812848169199
"325",0,0,1,1,NA,0,0,0,0,0,57.1436352048255
"326",0,1,0,1,10,2,1,1,0,2678,469.658298687305
"327",0,1,0,1,10,2,1,1,0,728,469.658298687305
"328",1,1,0,1,NA,0,0,0,0,1380,803.677883078753
"329",1,1,0,1,NA,0,0,0,0,1200,803.677883078753
"330",0,1,0,1,0,3,1,1,1,600,2415.13028857466
"331",0,1,0,1,0,3,1,1,1,2302,2415.13028857466
"332",0,1,0,1,NA,0,0,0,0,1438,1006.15877074267
"333",0,1,0,1,NA,0,0,0,0,1677,1006.15877074267
"334",1,0,1,0,NA,0,0,0,0,0,97.4511970393608
"335",1,1,0,1,NA,0,0,0,0,1224,1916.5055218989
"336",1,1,0,1,NA,0,0,0,0,50,1916.5055218989
"337",0,0,1,0,NA,0,0,0,0,1186,1916.5055218989
"338",0,1,0,1,3,1,1,1,1,550,973.472209620326
"339",0,1,0,1,3,1,1,1,1,1050,973.472209620326
"340",0,0,0,0,16,1,1,1,0,1308,432.08811863968
"341",0,0,0,0,16,1,1,1,0,120,432.08811863968
"342",0,0,1,0,NA,0,0,0,0,0,432.08811863968
"343",0,0,1,0,NA,0,0,0,0,750,432.08811863968
"344",0,1,0,1,1,1,1,1,1,0,108.877216046381
"345",0,1,0,1,1,1,1,1,1,2570,108.877216046381
"346",1,0,1,1,NA,0,0,0,0,0,45.6452369976366
"347",0,1,0,1,NA,0,0,0,0,1707,1667.06068245682
"348",0,1,0,1,NA,0,0,0,0,1633,1667.06068245682
